epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,485.221,1.1861,0.917,0.93617,0.82843,0.8625,0.92549,0.52787,1.31068,0.88202,0.86881,0.000778233,0.000778233,0.000778233
94,490.72,1.14198,0.88264,0.93569,0.85506,0.86367,0.92922,0.51356,1.38249,0.8605,0.86474,0.00077116,0.00077116,0.00077116
95,496.205,1.14973,0.87174,0.94662,0.9408,0.88834,0.93641,0.5304,1.37452,0.85128,0.8589,0.000764086,0.000764086,0.000764086
96,501.651,1.16693,0.92677,0.94364,0.83999,0.83373,0.89559,0.5563,1.30456,0.86691,0.88591,0.000757013,0.000757013,0.000757013
97,507.094,1.14915,0.89655,0.93886,0.90778,0.75328,0.90074,0.54015,1.31069,0.87548,0.89379,0.000749939,0.000749939,0.000749939
98,512.57,1.10954,0.86381,0.9469,0.86093,0.89899,0.88476,0.51963,1.50096,0.90324,0.8952,0.000742866,0.000742866,0.000742866
99,518.005,1.13777,0.90123,0.92367,0.81709,0.90417,0.89593,0.53418,1.3757,0.83266,0.8747,0.000735792,0.000735792,0.000735792
100,523.495,1.07914,0.85515,0.92373,0.8736,0.94775,0.94647,0.54812,1.29818,0.81998,0.87768,0.000728719,0.000728719,0.000728719
101,528.93,1.11818,0.86661,0.92604,0.78102,0.93598,0.9137,0.54195,1.42398,0.88965,0.86155,0.000721645,0.000721645,0.000721645
102,534.427,1.11722,0.86729,0.92649,0.87805,0.89588,0.93231,0.57332,1.32248,0.88001,0.88998,0.000714571,0.000714571,0.000714571
103,539.892,1.12485,0.85464,0.92906,0.8882,0.88333,0.92965,0.55407,1.3207,0.87482,0.90829,0.000707498,0.000707498,0.000707498
104,545.391,1.15138,0.85397,0.91782,0.90152,0.84112,0.93319,0.57731,1.35565,0.84482,0.86484,0.000700424,0.000700424,0.000700424
105,550.882,1.11162,0.83915,0.92014,0.7958,0.91984,0.91032,0.56005,1.37186,0.87148,0.85985,0.000693351,0.000693351,0.000693351
106,556.377,1.0648,0.82324,0.9256,0.79624,0.81667,0.88827,0.57511,1.3397,0.81194,0.85859,0.000686277,0.000686277,0.000686277
107,561.827,1.08264,0.85168,0.92671,0.82622,0.89721,0.88853,0.56298,1.27921,0.79167,0.85691,0.000679204,0.000679204,0.000679204
108,567.317,1.06236,0.83032,0.928,0.80172,0.81825,0.86346,0.5509,1.33693,0.81527,0.85967,0.00067213,0.00067213,0.00067213
109,572.843,1.06275,0.8341,0.92474,0.89275,0.8625,0.93546,0.5834,1.23048,0.79469,0.86336,0.000665057,0.000665057,0.000665057
110,578.378,1.0522,0.81987,0.91674,0.9388,0.88253,0.94803,0.59778,1.27712,0.7729,0.86383,0.000657983,0.000657983,0.000657983
111,583.898,1.04509,0.81996,0.92587,0.8943,0.84396,0.91583,0.60442,1.2702,0.77293,0.85259,0.000650909,0.000650909,0.000650909
112,589.427,1.10085,0.8316,0.92654,0.84317,0.85075,0.90958,0.57462,1.40586,0.82808,0.87947,0.000643836,0.000643836,0.000643836
113,594.925,1.07873,0.82957,0.91604,0.88446,0.92506,0.94474,0.59703,1.28076,0.81162,0.8689,0.000636762,0.000636762,0.000636762
114,600.414,1.05703,0.82527,0.91455,0.88577,0.91677,0.94968,0.6178,1.17198,0.78977,0.86666,0.000629689,0.000629689,0.000629689
115,605.912,1.02281,0.78899,0.91804,0.86871,0.92083,0.92755,0.59005,1.25717,0.85685,0.87953,0.000622615,0.000622615,0.000622615
116,611.406,1.00602,0.79929,0.90795,0.90287,0.89237,0.9502,0.56624,1.32021,0.85442,0.88267,0.000615542,0.000615542,0.000615542
117,616.872,1.05601,0.79966,0.91683,0.88319,0.87917,0.93948,0.60784,1.2008,0.76279,0.87625,0.000608468,0.000608468,0.000608468
118,622.351,1.02738,0.77604,0.9094,0.75919,0.87817,0.91849,0.56562,1.33923,0.79803,0.85907,0.000601395,0.000601395,0.000601395
119,627.822,1.10136,0.80407,0.91784,0.88693,0.81981,0.91412,0.58304,1.23262,0.79105,0.87303,0.000594321,0.000594321,0.000594321
120,633.393,1.02279,0.7751,0.89734,0.88604,0.83687,0.92344,0.51662,1.44612,0.86553,0.90847,0.000587248,0.000587248,0.000587248
121,638.891,1.01459,0.81943,0.91171,0.91211,0.84392,0.9273,0.57925,1.2522,0.76632,0.86319,0.000580174,0.000580174,0.000580174
122,644.352,1.03981,0.78567,0.91528,0.88703,0.88185,0.9126,0.57712,1.23246,0.82119,0.85761,0.0005731,0.0005731,0.0005731
123,649.832,1.02558,0.80141,0.91508,0.9215,0.87305,0.91878,0.5916,1.19948,0.80441,0.84398,0.000566027,0.000566027,0.000566027
124,655.303,1.03411,0.81881,0.9097,0.82333,0.88955,0.91332,0.59381,1.24464,0.81689,0.85541,0.000558953,0.000558953,0.000558953
125,660.8,1.03365,0.83231,0.91121,0.84349,0.95107,0.94327,0.58566,1.2646,0.77126,0.84784,0.00055188,0.00055188,0.00055188
126,666.289,1.00746,0.7703,0.90548,0.90574,0.86829,0.90998,0.59087,1.24765,0.80611,0.83083,0.000544806,0.000544806,0.000544806
127,671.767,1.00788,0.74812,0.89783,0.81767,0.93033,0.93572,0.61381,1.23385,0.78379,0.83762,0.000537733,0.000537733,0.000537733
128,677.275,0.98745,0.73533,0.89561,0.8286,0.94389,0.93196,0.59609,1.22809,0.7582,0.87278,0.000530659,0.000530659,0.000530659
129,682.741,1.03952,0.77995,0.90627,0.8796,0.86015,0.93711,0.59298,1.26705,0.77452,0.85558,0.000523586,0.000523586,0.000523586
130,688.225,1.01137,0.78271,0.90753,0.89925,0.84909,0.95551,0.61921,1.23891,0.78498,0.84797,0.000516512,0.000516512,0.000516512
131,693.782,0.98562,0.7433,0.90702,0.85159,0.94248,0.94151,0.60395,1.20132,0.78089,0.85288,0.000509438,0.000509438,0.000509438
132,699.299,0.97295,0.75751,0.91071,0.88196,0.91587,0.939,0.59785,1.22096,0.79999,0.86028,0.000502365,0.000502365,0.000502365
133,704.818,1.0182,0.7684,0.90866,0.7892,0.92083,0.92865,0.62731,1.17288,0.78102,0.83943,0.000495291,0.000495291,0.000495291
134,710.328,0.98937,0.73917,0.90541,0.83945,0.92083,0.92528,0.61317,1.13567,0.76932,0.8415,0.000488218,0.000488218,0.000488218
135,715.845,0.9979,0.76061,0.90849,0.85825,0.95563,0.92517,0.56562,1.28301,0.82593,0.86418,0.000481144,0.000481144,0.000481144
136,721.326,0.96005,0.75352,0.89716,0.90121,0.84993,0.93741,0.61476,1.29102,0.76509,0.8703,0.000474071,0.000474071,0.000474071
137,726.796,0.97084,0.76403,0.90071,0.8188,0.91538,0.92541,0.60575,1.21235,0.75828,0.86524,0.000466997,0.000466997,0.000466997
138,732.271,0.97458,0.74321,0.89697,0.86436,0.9625,0.93759,0.57783,1.21432,0.77405,0.8574,0.000459924,0.000459924,0.000459924
139,737.76,0.98322,0.75128,0.90454,0.87626,0.89228,0.9319,0.61682,1.16478,0.7578,0.84729,0.00045285,0.00045285,0.00045285
140,743.249,0.95746,0.72165,0.90256,0.94282,0.93903,0.96548,0.61171,1.20353,0.76283,0.8378,0.000445777,0.000445777,0.000445777
141,748.723,0.95885,0.74015,0.90684,0.88708,0.94167,0.94788,0.60908,1.17046,0.76064,0.83672,0.000438703,0.000438703,0.000438703
142,754.23,0.9399,0.68646,0.90054,0.90102,0.9558,0.95834,0.61449,1.2203,0.75498,0.8635,0.000431629,0.000431629,0.000431629
143,759.74,0.9597,0.72547,0.90632,0.83452,0.8729,0.88885,0.58681,1.25867,0.75133,0.86438,0.000424556,0.000424556,0.000424556
144,765.232,0.97028,0.75433,0.90227,0.89615,0.88489,0.94259,0.62729,1.18007,0.78611,0.83908,0.000417482,0.000417482,0.000417482
145,770.742,0.9157,0.71394,0.8946,0.87767,0.91664,0.94637,0.62268,1.22758,0.73615,0.83812,0.000410409,0.000410409,0.000410409
146,776.251,0.93089,0.6948,0.88929,0.90562,0.95529,0.95136,0.61013,1.22668,0.75958,0.8382,0.000403335,0.000403335,0.000403335
147,781.743,0.94203,0.70222,0.88585,0.89204,0.9083,0.94723,0.66437,1.15796,0.7484,0.83305,0.000396262,0.000396262,0.000396262
148,787.264,0.93447,0.71298,0.90702,0.89597,0.92138,0.93331,0.60242,1.21767,0.75693,0.83806,0.000389188,0.000389188,0.000389188
149,792.778,0.9192,0.69281,0.89272,0.87178,0.94558,0.93891,0.59078,1.27302,0.73673,0.85955,0.000382115,0.000382115,0.000382115
150,798.231,0.94404,0.73087,0.90406,0.88416,0.95494,0.9597,0.56879,1.27667,0.72329,0.86514,0.000375041,0.000375041,0.000375041
151,803.691,0.93071,0.72267,0.90035,0.83772,0.9625,0.93952,0.58716,1.20023,0.74023,0.85121,0.000367967,0.000367967,0.000367967
152,809.189,0.92289,0.70978,0.8822,0.86406,0.91945,0.95578,0.60229,1.18421,0.74923,0.83762,0.000360894,0.000360894,0.000360894
153,814.689,0.90505,0.69258,0.89166,0.88037,0.89533,0.95481,0.58725,1.22695,0.7502,0.85589,0.00035382,0.00035382,0.00035382
154,820.148,0.93677,0.74214,0.89229,0.84927,0.92083,0.93651,0.62571,1.14611,0.75849,0.84732,0.000346747,0.000346747,0.000346747
155,825.569,0.91665,0.72204,0.89517,0.91268,0.90607,0.95304,0.63004,1.14633,0.75798,0.84025,0.000339673,0.000339673,0.000339673
156,831.017,0.93032,0.69435,0.88486,0.91197,0.89399,0.95701,0.63902,1.20116,0.74362,0.8424,0.0003326,0.0003326,0.0003326
157,836.44,0.89198,0.67869,0.88602,0.91826,0.85558,0.94882,0.62619,1.17958,0.68288,0.85768,0.000325526,0.000325526,0.000325526
158,841.873,0.90571,0.69995,0.89501,0.92345,0.88099,0.95725,0.61106,1.19993,0.71194,0.84907,0.000318453,0.000318453,0.000318453
159,847.286,0.87938,0.65,0.88131,0.91059,0.85905,0.95083,0.61393,1.11967,0.71918,0.84164,0.000311379,0.000311379,0.000311379
160,852.718,0.90471,0.68452,0.89123,0.92018,0.8433,0.94292,0.63064,1.11711,0.72477,0.83503,0.000304306,0.000304306,0.000304306
161,858.117,0.89498,0.69813,0.88286,0.82405,0.9457,0.93939,0.61684,1.12716,0.70093,0.83195,0.000297232,0.000297232,0.000297232
162,863.536,0.93181,0.70445,0.8915,0.83992,0.92866,0.94607,0.61615,1.15834,0.72422,0.84087,0.000290158,0.000290158,0.000290158
163,868.956,0.86394,0.68605,0.88123,0.82221,0.90007,0.93619,0.64419,1.20337,0.71977,0.83669,0.000283085,0.000283085,0.000283085
164,874.496,0.87999,0.68005,0.89414,0.82601,0.9465,0.94113,0.64163,1.0951,0.71022,0.83564,0.000276011,0.000276011,0.000276011
165,879.928,0.89908,0.67311,0.88718,0.80051,0.9456,0.94407,0.63244,1.12823,0.69716,0.83971,0.000268938,0.000268938,0.000268938
